ImageId,PredictionString,target
ILSVRC2012_val_00034122,n01687978 31 55 269 463 ,n01687978
ILSVRC2012_val_00015753,n01688243 41 78 240 498 ,n01688243
ILSVRC2012_val_00041330,n01689811 136 65 496 232 ,n01689811
ILSVRC2012_val_00041887,n01692333 208 167 494 303 ,n01692333
ILSVRC2012_val_00000683,n01693334 66 128 380 269 ,n01693334
ILSVRC2012_val_00025511,n01694178 93 47 410 334 ,n01694178
ILSVRC2012_val_00012342,n01695060 46 123 464 284 ,n01695060
ILSVRC2012_val_00022812,n01697457 1 88 476 340 ,n01697457
ILSVRC2012_val_00045362,n01698640 2 163 272 308 n01698640 1 88 462 255 ,n01698640
ILSVRC2012_val_00043422,n01704323 155 107 498 498 ,n01704323
ILSVRC2012_val_00035167,n01728572 168 35 359 218 ,n01728572
ILSVRC2012_val_00046516,n01728920 145 138 499 194 ,n01728920
ILSVRC2012_val_00013117,n01729322 86 44 396 313 ,n01729322
ILSVRC2012_val_00015069,n01729977 214 143 499 309 ,n01729977
ILSVRC2012_val_00008534,n01734418 1 29 499 334 ,n01734418
ILSVRC2012_val_00003286,n01735189 0 42 499 295 ,n01735189
ILSVRC2012_val_00043805,n01737021 0 91 376 294 ,n01737021
ILSVRC2012_val_00005262,n01739381 116 119 483 374 ,n01739381
ILSVRC2012_val_00043843,n01740131 0 74 453 374 ,n01740131
ILSVRC2012_val_00035425,n01742172 43 2 498 282 ,n01742172
ILSVRC2012_val_00007220,n01744401 1 1 499 373 ,n01744401
ILSVRC2012_val_00021130,n01748264 194 207 264 286 ,n01748264
ILSVRC2012_val_00046039,n01749939 134 1 364 244 ,n01749939
ILSVRC2012_val_00021916,n01751748 375 151 499 334 ,n01751748
ILSVRC2012_val_00016066,n01753488 68 50 220 145 ,n01753488
ILSVRC2012_val_00038068,n01755581 1 111 499 268 ,n01755581
ILSVRC2012_val_00006690,n01756291 252 75 366 192 ,n01756291
ILSVRC2012_val_00020236,n01768244 30 106 167 253 n01768244 175 133 312 251 n01768244 275 40 442 198 ,n01768244
ILSVRC2012_val_00012828,n01770081 2 38 499 373 ,n01770081
ILSVRC2012_val_00042281,n01770393 60 97 271 365 ,n01770393
ILSVRC2012_val_00004118,n01773157 22 22 406 543 ,n01773157
ILSVRC2012_val_00029496,n01773549 152 28 408 339 ,n01773549
ILSVRC2012_val_00019968,n01773797 126 25 390 414 ,n01773797
ILSVRC2012_val_00017682,n01774384 27 65 481 342 ,n01774384
ILSVRC2012_val_00007951,n01774750 57 59 440 375 ,n01774750
ILSVRC2012_val_00042578,n01775062 75 197 1010 613 ,n01775062
ILSVRC2012_val_00021337,n01776313 5 2 243 174 ,n01776313
ILSVRC2012_val_00016866,n01784675 251 159 288 242 ,n01784675
ILSVRC2012_val_00001136,n01795545 209 67 335 263 n01795545 154 84 267 249 ,n01795545
ILSVRC2012_val_00031432,n01796340 105 112 466 462 ,n01796340
ILSVRC2012_val_00037408,n01797886 110 127 431 294 ,n01797886
ILSVRC2012_val_00040261,n01798484 26 48 367 365 ,n01798484
ILSVRC2012_val_00025543,n01806143 66 55 438 300 ,n01806143
ILSVRC2012_val_00043990,n01806567 198 87 378 385 ,n01806567
ILSVRC2012_val_00003676,n01807496 41 110 303 472 ,n01807496
ILSVRC2012_val_00002791,n01817953 35 344 334 477 n01817953 75 45 349 151 ,n01817953
ILSVRC2012_val_00032473,n01818515 337 23 467 403 n01818515 17 122 169 403 ,n01818515
ILSVRC2012_val_00044363,n01819313 105 51 393 261 ,n01819313
ILSVRC2012_val_00010258,n01820546 55 80 226 374 ,n01820546
ILSVRC2012_val_00000370,n01824575 186 63 406 391 ,n01824575
ILSVRC2012_val_00011237,n01828970 59 98 387 451 ,n01828970
ILSVRC2012_val_00043635,n01829413 165 72 221 286 n01829413 215 76 283 216 ,n01829413
ILSVRC2012_val_00030431,n01833805 86 35 480 294 ,n01833805
ILSVRC2012_val_00006372,n01843065 65 80 335 492 ,n01843065
ILSVRC2012_val_00025371,n01843383 215 165 434 323 ,n01843383
ILSVRC2012_val_00048252,n01847000 25 197 352 292 ,n01847000
ILSVRC2012_val_00042586,n01855032 159 58 356 246 n01855032 204 67 405 229 ,n01855032
ILSVRC2012_val_00016195,n01855672 0 85 493 282 ,n01855672
ILSVRC2012_val_00038126,n01860187 301 118 470 286 n01860187 0 169 112 350 n01860187 155 190 213 242 n01860187 307 281 410 322 n01860187 226 184 309 230 n01860187 253 226 317 275 ,n01860187
ILSVRC2012_val_00000754,n01871265 0 7 273 361 n01871265 411 119 499 265 n01871265 390 145 440 213 n01871265 226 143 275 254 ,n01871265
ILSVRC2012_val_00003827,n01872401 168 111 381 247 ,n01872401
ILSVRC2012_val_00008907,n01873310 107 65 330 226 ,n01873310
ILSVRC2012_val_00019977,n01877812 236 151 264 200 ,n01877812
ILSVRC2012_val_00046073,n01882714 80 46 291 427 ,n01882714
ILSVRC2012_val_00035312,n01883070 68 120 243 256 ,n01883070
ILSVRC2012_val_00014456,n01910747 205 97 233 130 n01910747 104 87 120 111 n01910747 155 165 176 185 n01910747 51 297 67 314 n01910747 167 193 183 211 n01910747 250 301 272 321 n01910747 108 112 121 126 n01910747 369 276 390 293 n01910747 113 137 131 158 n01910747 10 234 28 251 n01910747 71 241 86 253 n01910747 61 209 80 226 n01910747 136 194 158 221 n01910747 169 139 180 151 n01910747 47 260 65 271 n01910747 97 229 121 256 n01910747 141 139 159 157 n01910747 194 74 212 89 n01910747 127 78 145 96 ,n01910747
ILSVRC2012_val_00015587,n01914609 58 57 320 441 ,n01914609
ILSVRC2012_val_00047014,n01917289 0 3 499 374 ,n01917289
ILSVRC2012_val_00032764,n01924916 168 121 416 303 ,n01924916
ILSVRC2012_val_00015650,n01930112 0 40 375 356 ,n01930112
ILSVRC2012_val_00037632,n01943899 6 61 449 333 ,n01943899
ILSVRC2012_val_00038059,n01944390 70 36 467 269 ,n01944390
ILSVRC2012_val_00029563,n01945685 0 95 499 374 ,n01945685
ILSVRC2012_val_00008160,n01950731 132 88 354 417 ,n01950731
ILSVRC2012_val_00026037,n01955084 180 25 320 171 ,n01955084
ILSVRC2012_val_00041975,n01968897 96 132 208 255 n01968897 292 221 418 332 n01968897 232 40 350 159 ,n01968897
ILSVRC2012_val_00018961,n01978287 37 7 448 365 ,n01978287
ILSVRC2012_val_00014921,n01978455 104 132 358 256 ,n01978455
ILSVRC2012_val_00026115,n01980166 317 331 812 714 ,n01980166
ILSVRC2012_val_00023264,n01981276 0 0 499 374 ,n01981276
ILSVRC2012_val_00016947,n01983481 47 53 509 371 ,n01983481
ILSVRC2012_val_00034702,n01984695 2 80 428 390 ,n01984695
ILSVRC2012_val_00033188,n01985128 70 61 498 344 ,n01985128
ILSVRC2012_val_00031408,n01986214 268 140 463 277 n01986214 51 138 215 270 ,n01986214
ILSVRC2012_val_00043167,n01990800 209 174 288 217 ,n01990800
ILSVRC2012_val_00028890,n02002556 75 112 417 379 ,n02002556
ILSVRC2012_val_00001068,n02002724 77 95 268 436 ,n02002724
ILSVRC2012_val_00017069,n02006656 29 33 447 484 ,n02006656
ILSVRC2012_val_00019951,n02007558 156 104 392 354 ,n02007558
ILSVRC2012_val_00003659,n02009229 63 28 198 171 ,n02009229
ILSVRC2012_val_00048877,n02009912 40 45 458 297 ,n02009912
ILSVRC2012_val_00008929,n02011460 118 53 228 488 ,n02011460
ILSVRC2012_val_00011177,n02012849 25 66 461 339 ,n02012849
ILSVRC2012_val_00003053,n02013706 237 65 397 391 ,n02013706
ILSVRC2012_val_00030662,n02017213 297 144 438 369 ,n02017213
ILSVRC2012_val_00006231,n02018207 101 85 220 236 ,n02018207
ILSVRC2012_val_00001073,n02018795 141 142 367 321 ,n02018795
ILSVRC2012_val_00026595,n02025239 193 134 409 286 n02025239 52 169 236 313 n02025239 104 0 231 72 ,n02025239
ILSVRC2012_val_00007668,n02027492 13 81 425 338 ,n02027492
ILSVRC2012_val_00018043,n02028035 6 96 367 442 ,n02028035
ILSVRC2012_val_00035563,n02033041 200 51 299 337 n02033041 57 62 286 320 ,n02033041
ILSVRC2012_val_00041535,n02037110 70 140 243 291 ,n02037110
ILSVRC2012_val_00003153,n02051845 58 28 357 328 ,n02051845
ILSVRC2012_val_00037825,n02056570 55 47 152 232 n02056570 157 52 232 215 ,n02056570
ILSVRC2012_val_00000207,n02058221 96 176 282 381 ,n02058221
ILSVRC2012_val_00018438,n02066245 82 138 393 248 ,n02066245
ILSVRC2012_val_00042590,n02071294 0 19 411 333 ,n02071294
ILSVRC2012_val_00028666,n02074367 0 1 325 374 ,n02074367
ILSVRC2012_val_00026339,n02077923 69 58 329 275 n02077923 64 62 339 286 ,n02077923
ILSVRC2012_val_00020016,n02085620 112 46 416 374 ,n02085620
ILSVRC2012_val_00003953,n02085782 158 59 426 311 ,n02085782
ILSVRC2012_val_00018695,n02085936 83 60 308 374 ,n02085936
ILSVRC2012_val_00045155,n02086079 6 36 434 361 n02086079 0 1 111 115 ,n02086079
ILSVRC2012_val_00022091,n02086240 157 4 468 334 ,n02086240
ILSVRC2012_val_00009439,n02086646 42 62 363 451 ,n02086646
ILSVRC2012_val_00004073,n02086910 240 206 471 327 n02086910 21 123 272 292 ,n02086910
ILSVRC2012_val_00029090,n02087046 57 86 434 374 ,n02087046
ILSVRC2012_val_00035893,n02087394 0 33 499 374 ,n02087394
ILSVRC2012_val_00005507,n02088094 225 131 498 428 ,n02088094
ILSVRC2012_val_00017935,n02088238 105 62 304 382 ,n02088238
ILSVRC2012_val_00011719,n02088364 45 20 465 436 ,n02088364
ILSVRC2012_val_00039540,n02088466 1 27 445 374 ,n02088466
ILSVRC2012_val_00039010,n02088632 93 94 428 342 ,n02088632
ILSVRC2012_val_00041629,n02089078 1 88 409 428 ,n02089078
ILSVRC2012_val_00045565,n02089867 178 77 472 359 ,n02089867
ILSVRC2012_val_00034690,n02089973 11 20 489 354 ,n02089973
ILSVRC2012_val_00033094,n02090379 0 20 333 448 ,n02090379
ILSVRC2012_val_00047707,n02090622 66 114 401 538 ,n02090622
ILSVRC2012_val_00017787,n02090721 13 339 868 598 ,n02090721
ILSVRC2012_val_00004231,n02091032 80 57 487 374 ,n02091032
ILSVRC2012_val_00001846,n02091134 86 33 448 498 ,n02091134
ILSVRC2012_val_00030539,n02091244 71 40 498 469 ,n02091244
ILSVRC2012_val_00024649,n02091467 118 13 403 289 ,n02091467
ILSVRC2012_val_00034121,n02091635 1 168 425 600 ,n02091635
ILSVRC2012_val_00015425,n02091831 48 15 356 616 ,n02091831
ILSVRC2012_val_00031814,n02092002 1 55 401 372 n02092002 186 0 421 227 ,n02092002
ILSVRC2012_val_00031532,n02092339 262 19 496 399 n02092339 6 43 263 396 ,n02092339
ILSVRC2012_val_00001844,n02093256 35 17 233 296 n02093256 233 55 429 376 ,n02093256
ILSVRC2012_val_00014719,n02093428 86 52 477 340 ,n02093428
ILSVRC2012_val_00003269,n02093647 238 118 498 278 n02093647 7 105 235 258 ,n02093647
ILSVRC2012_val_00014225,n02093754 3 96 354 335 ,n02093754
ILSVRC2012_val_00027743,n02093859 21 32 371 353 ,n02093859
ILSVRC2012_val_00006531,n02093991 234 44 427 355 n02093991 47 30 266 310 ,n02093991
ILSVRC2012_val_00038328,n02094114 82 92 311 307 ,n02094114
ILSVRC2012_val_00043261,n02094258 1 102 316 343 ,n02094258
ILSVRC2012_val_00036254,n02094433 287 162 371 309 ,n02094433
ILSVRC2012_val_00031713,n02095314 351 155 471 324 n02095314 36 154 152 301 n02095314 158 124 192 192 ,n02095314
ILSVRC2012_val_00036793,n02095570 1 1 279 231 ,n02095570
ILSVRC2012_val_00037272,n02095889 210 40 393 188 ,n02095889
ILSVRC2012_val_00039147,n02096051 49 31 499 346 ,n02096051
ILSVRC2012_val_00037972,n02096177 119 130 379 373 ,n02096177
ILSVRC2012_val_00042022,n02096294 99 72 305 398 ,n02096294
ILSVRC2012_val_00019040,n02096437 0 0 498 419 ,n02096437
ILSVRC2012_val_00045047,n02096585 157 72 379 374 ,n02096585
ILSVRC2012_val_00016540,n02097047 171 53 499 374 ,n02097047
ILSVRC2012_val_00045665,n02097130 175 78 313 250 ,n02097130
ILSVRC2012_val_00022042,n02097209 0 0 499 374 ,n02097209
ILSVRC2012_val_00012364,n02097298 30 48 364 365 n02097298 1 187 259 374 ,n02097298
ILSVRC2012_val_00038294,n02097474 139 31 353 374 ,n02097474
ILSVRC2012_val_00005174,n02097658 33 25 493 361 ,n02097658
ILSVRC2012_val_00012004,n02098105 257 94 499 323 n02098105 0 79 255 332 ,n02098105
ILSVRC2012_val_00040114,n02098286 264 101 498 361 ,n02098286
ILSVRC2012_val_00049558,n02098413 163 83 499 311 ,n02098413
ILSVRC2012_val_00045963,n02099267 127 118 298 315 ,n02099267
ILSVRC2012_val_00036808,n02099429 193 14 487 294 ,n02099429
ILSVRC2012_val_00031731,n02099601 3 276 185 498 ,n02099601
ILSVRC2012_val_00014270,n02099712 12 13 398 498 ,n02099712
ILSVRC2012_val_00041137,n02099849 20 30 454 324 ,n02099849
ILSVRC2012_val_00010533,n02100236 447 168 1596 1194 ,n02100236
ILSVRC2012_val_00027038,n02100583 236 69 463 266 n02100583 0 154 271 374 ,n02100583
ILSVRC2012_val_00032066,n02100735 272 193 660 648 ,n02100735
ILSVRC2012_val_00029929,n02100877 102 43 499 374 ,n02100877
ILSVRC2012_val_00024973,n02101006 251 133 471 374 n02101006 78 78 247 374 ,n02101006
ILSVRC2012_val_00015176,n02101388 78 34 360 374 ,n02101388
ILSVRC2012_val_00000643,n02101556 83 52 339 281 ,n02101556
ILSVRC2012_val_00008162,n02102040 33 0 283 461 ,n02102040
ILSVRC2012_val_00047049,n02102177 1 16 471 391 ,n02102177
ILSVRC2012_val_00001663,n02102318 0 50 366 498 ,n02102318
ILSVRC2012_val_00002303,n02102480 147 173 344 284 ,n02102480
ILSVRC2012_val_00020128,n02102973 108 36 271 471 ,n02102973
ILSVRC2012_val_00019060,n02104029 46 21 499 374 ,n02104029
ILSVRC2012_val_00042768,n02104365 251 96 328 217 ,n02104365
ILSVRC2012_val_00035891,n02105056 86 1 383 335 ,n02105056
ILSVRC2012_val_00036147,n02105162 128 53 415 307 ,n02105162
ILSVRC2012_val_00027053,n02105251 0 48 471 329 ,n02105251
ILSVRC2012_val_00002940,n02105412 128 198 373 498 n02105412 2 16 373 391 ,n02105412
ILSVRC2012_val_00023603,n02105505 4 94 361 373 ,n02105505
ILSVRC2012_val_00005390,n02105641 0 10 332 233 ,n02105641
ILSVRC2012_val_00045056,n02105855 241 104 471 277 ,n02105855
ILSVRC2012_val_00021226,n02106030 0 101 262 374 n02106030 138 79 371 245 ,n02106030
ILSVRC2012_val_00004766,n02106166 94 97 444 495 ,n02106166
ILSVRC2012_val_00030482,n02106382 163 213 299 383 ,n02106382
ILSVRC2012_val_00047499,n02106550 38 11 481 374 ,n02106550
ILSVRC2012_val_00002012,n02106662 202 137 432 315 ,n02106662
ILSVRC2012_val_00043835,n02107142 153 63 376 336 ,n02107142
ILSVRC2012_val_00046399,n02107312 8 33 345 310 ,n02107312
ILSVRC2012_val_00006824,n02107574 0 198 412 432 n02107574 13 137 292 275 ,n02107574
ILSVRC2012_val_00034495,n02107683 177 280 291 475 n02107683 103 260 181 443 ,n02107683
ILSVRC2012_val_00036796,n02107908 47 117 261 395 ,n02107908
ILSVRC2012_val_00002277,n02108000 113 105 492 257 ,n02108000
ILSVRC2012_val_00017434,n02108089 105 32 457 495 n02108089 0 411 167 498 ,n02108089
ILSVRC2012_val_00043641,n02108422 141 41 499 374 ,n02108422
ILSVRC2012_val_00042391,n02108551 2 10 440 498 ,n02108551
ILSVRC2012_val_00027220,n02108915 25 92 239 279 n02108915 191 86 488 328 ,n02108915
ILSVRC2012_val_00017636,n02109047 13 40 318 498 ,n02109047
ILSVRC2012_val_00033703,n02109525 134 47 424 458 ,n02109525
ILSVRC2012_val_00029190,n02109961 272 39 362 321 n02109961 67 152 175 364 ,n02109961
ILSVRC2012_val_00042409,n02110063 17 87 373 497 ,n02110063
ILSVRC2012_val_00048830,n02110185 1 12 328 413 ,n02110185
ILSVRC2012_val_00023620,n02110341 67 2 373 433 ,n02110341
ILSVRC2012_val_00006545,n02110627 4 3 94 99 ,n02110627
ILSVRC2012_val_00034075,n02110806 75 0 498 498 ,n02110806
ILSVRC2012_val_00024642,n02110958 69 101 245 325 n02110958 208 92 434 303 ,n02110958
ILSVRC2012_val_00017151,n02111129 32 3 473 422 n02111129 324 142 459 314 ,n02111129
ILSVRC2012_val_00012380,n02111277 8 13 358 488 ,n02111277
ILSVRC2012_val_00003794,n02111500 126 134 470 374 n02111500 93 91 202 206 ,n02111500
ILSVRC2012_val_00038604,n02111889 128 105 401 375 ,n02111889
ILSVRC2012_val_00014710,n02112018 75 1 494 374 ,n02112018
ILSVRC2012_val_00003696,n02112137 0 34 422 370 ,n02112137
ILSVRC2012_val_00018701,n02112350 217 3 499 356 n02112350 8 4 358 356 n02112350 9 74 222 353 ,n02112350
ILSVRC2012_val_00034893,n02112706 82 130 682 691 ,n02112706
ILSVRC2012_val_00045068,n02113023 169 148 308 280 ,n02113023
ILSVRC2012_val_00001686,n02113186 117 57 305 427 ,n02113186
ILSVRC2012_val_00046823,n02113624 0 0 498 401 ,n02113624
ILSVRC2012_val_00028246,n02113712 48 26 342 485 ,n02113712
ILSVRC2012_val_00000399,n02113799 104 0 492 439 ,n02113799
ILSVRC2012_val_00028908,n02113978 255 45 448 309 n02113978 84 186 355 397 n02113978 30 12 264 273 ,n02113978
ILSVRC2012_val_00037118,n02114367 111 43 477 290 ,n02114367
ILSVRC2012_val_00046088,n02114548 110 38 499 317 ,n02114548
ILSVRC2012_val_00018735,n02114712 14 15 529 358 ,n02114712
ILSVRC2012_val_00029186,n02114855 188 118 498 335 ,n02114855
ILSVRC2012_val_00039177,n02115641 170 40 368 353 ,n02115641
ILSVRC2012_val_00015330,n02115913 1 3 357 498 ,n02115913
ILSVRC2012_val_00041220,n02116738 117 71 375 314 ,n02116738
ILSVRC2012_val_00041142,n02117135 72 45 318 256 ,n02117135
ILSVRC2012_val_00020790,n02119022 77 83 477 214 n02119022 75 134 278 265 n02119022 81 161 276 292 ,n02119022
ILSVRC2012_val_00024529,n02119789 99 36 381 273 ,n02119789
ILSVRC2012_val_00039554,n02120079 0 74 392 374 ,n02120079
ILSVRC2012_val_00034996,n02120505 21 42 165 132 ,n02120505
ILSVRC2012_val_00044027,n02123045 0 70 482 294 ,n02123045
ILSVRC2012_val_00019303,n02123159 125 247 244 379 n02123159 0 241 125 379 n02123159 1 0 235 240 ,n02123159
ILSVRC2012_val_00044097,n02123394 4 0 146 176 ,n02123394
ILSVRC2012_val_00045829,n02123597 233 0 499 332 ,n02123597
ILSVRC2012_val_00000709,n02124075 20 60 353 451 ,n02124075
ILSVRC2012_val_00027069,n02125311 13 76 270 296 n02125311 102 211 331 330 ,n02125311
ILSVRC2012_val_00016118,n02127052 52 48 150 248 ,n02127052
ILSVRC2012_val_00012399,n02128385 33 67 487 413 ,n02128385
ILSVRC2012_val_00040972,n02128757 85 77 300 268 ,n02128757
ILSVRC2012_val_00007232,n02128925 135 106 526 367 n02128925 0 106 420 267 ,n02128925
ILSVRC2012_val_00029001,n02129165 2 31 226 214 n02129165 153 140 349 201 ,n02129165
ILSVRC2012_val_00002601,n02129604 0 1 143 139 ,n02129604
ILSVRC2012_val_00009133,n02130308 0 46 585 871 n02130308 793 144 1091 661 n02130308 988 208 1242 689 n02130308 477 232 804 707 n02130308 479 131 705 494 ,n02130308
ILSVRC2012_val_00046763,n02132136 146 87 633 394 ,n02132136
ILSVRC2012_val_00000592,n02133161 244 136 357 284 ,n02133161
ILSVRC2012_val_00047527,n02134084 0 8 299 209 ,n02134084
ILSVRC2012_val_00042361,n02134418 52 4 698 569 ,n02134418
ILSVRC2012_val_00023662,n02137549 175 84 328 272 ,n02137549
ILSVRC2012_val_00021855,n02138441 58 36 464 411 ,n02138441
ILSVRC2012_val_00003852,n02165105 0 0 403 332 ,n02165105
ILSVRC2012_val_00024572,n02165456 17 27 354 405 ,n02165456
ILSVRC2012_val_00003440,n02167151 6 28 362 627 ,n02167151
ILSVRC2012_val_00029410,n02168699 2 3 432 466 ,n02168699
ILSVRC2012_val_00007549,n02169497 22 4 392 279 ,n02169497
ILSVRC2012_val_00029442,n02172182 216 26 456 396 ,n02172182
ILSVRC2012_val_00044390,n02174001 135 48 332 337 ,n02174001
ILSVRC2012_val_00047065,n02177972 104 114 340 316 ,n02177972
ILSVRC2012_val_00034895,n02190166 109 27 427 352 ,n02190166
ILSVRC2012_val_00020564,n02206856 257 215 402 346 ,n02206856
ILSVRC2012_val_00031237,n02219486 201 291 419 410 ,n02219486
ILSVRC2012_val_00038662,n02226429 229 191 430 342 ,n02226429
ILSVRC2012_val_00028270,n02229544 178 46 362 280 ,n02229544
ILSVRC2012_val_00010292,n02231487 21 64 498 324 ,n02231487
ILSVRC2012_val_00010774,n02233338 239 157 342 242 ,n02233338
ILSVRC2012_val_00023230,n02236044 73 85 399 327 ,n02236044
ILSVRC2012_val_00038090,n02256656 118 69 342 197 n02256656 5 69 127 137 ,n02256656
ILSVRC2012_val_00011535,n02259212 292 95 396 217 ,n02259212
ILSVRC2012_val_00029539,n02264363 79 98 476 297 ,n02264363
ILSVRC2012_val_00043136,n02268443 53 38 383 461 ,n02268443
ILSVRC2012_val_00001842,n02268853 54 26 359 133 n02268853 146 80 364 366 ,n02268853
ILSVRC2012_val_00028372,n02276258 62 55 342 220 ,n02276258
ILSVRC2012_val_00029047,n02277742 91 30 408 309 ,n02277742
ILSVRC2012_val_00012137,n02279972 61 83 455 347 ,n02279972
ILSVRC2012_val_00028366,n02280649 91 146 220 412 ,n02280649
ILSVRC2012_val_00045771,n02281406 184 135 266 203 ,n02281406
ILSVRC2012_val_00045620,n02281787 437 78 759 430 ,n02281787
ILSVRC2012_val_00011730,n02317335 108 134 387 372 ,n02317335
ILSVRC2012_val_00044777,n02319095 135 51 383 273 ,n02319095
ILSVRC2012_val_00029107,n02321529 115 47 337 278 ,n02321529
ILSVRC2012_val_00041946,n02325366 49 7 297 259 ,n02325366
ILSVRC2012_val_00022780,n02326432 66 45 182 265 ,n02326432
ILSVRC2012_val_00015997,n02328150 107 18 366 283 ,n02328150
ILSVRC2012_val_00006185,n02342885 87 56 452 450 ,n02342885
ILSVRC2012_val_00005243,n02346627 46 0 499 311 ,n02346627
ILSVRC2012_val_00036710,n02356798 185 126 309 204 ,n02356798
ILSVRC2012_val_00006898,n02361337 32 180 345 397 ,n02361337
ILSVRC2012_val_00018422,n02363005 192 118 390 332 ,n02363005
ILSVRC2012_val_00046562,n02364673 160 88 352 299 ,n02364673
ILSVRC2012_val_00029082,n02389026 164 82 499 332 n02389026 57 27 303 246 ,n02389026
ILSVRC2012_val_00043935,n02391049 222 39 385 245 n02391049 303 58 424 228 ,n02391049
ILSVRC2012_val_00029653,n02395406 24 110 271 336 ,n02395406
ILSVRC2012_val_00009551,n02396427 8 25 370 290 ,n02396427
ILSVRC2012_val_00037303,n02397096 8 35 280 332 n02397096 261 59 495 328 ,n02397096
ILSVRC2012_val_00039400,n02398521 21 51 499 278 ,n02398521
ILSVRC2012_val_00038286,n02403003 45 115 405 311 ,n02403003
ILSVRC2012_val_00005454,n02408429 26 67 344 274 ,n02408429
ILSVRC2012_val_00020346,n02410509 1 98 168 374 n02410509 299 161 421 336 n02410509 85 77 314 374 ,n02410509
ILSVRC2012_val_00036891,n02412080 55 76 296 421 ,n02412080
ILSVRC2012_val_00049043,n02415577 76 31 403 313 ,n02415577
ILSVRC2012_val_00032467,n02417914 45 153 308 375 ,n02417914
ILSVRC2012_val_00003482,n02422106 0 56 376 498 ,n02422106
ILSVRC2012_val_00003871,n02422699 156 175 209 321 ,n02422699
ILSVRC2012_val_00013750,n02423022 94 123 212 297 n02423022 246 110 316 221 n02423022 280 129 482 306 n02423022 42 92 90 183 n02423022 118 119 162 180 n02423022 261 81 309 112 n02423022 82 97 116 145 n02423022 4 69 40 100 n02423022 203 84 221 107 ,n02423022
ILSVRC2012_val_00027955,n02437312 246 129 437 273 n02437312 130 136 177 169 n02437312 2 113 39 162 n02437312 41 127 61 157 ,n02437312
ILSVRC2012_val_00029566,n02437616 57 92 355 311 ,n02437616
ILSVRC2012_val_00009986,n02441942 0 17 195 328 ,n02441942
ILSVRC2012_val_00041633,n02442845 0 54 351 375 ,n02442845
